COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
487,INVESTIDOR,CDC,F,32,0,12
488,TOMADOR,PESSOAL,,36,16,
489,NOVO,PESSOAL,F,44,5,
490,INVESTIDOR,CDC,F,,0,8
491,NOVO,CDC,M,31,0,22
492,NOVO,CDC,,,4,9
493,NOVO,PESSOAL,M,43,9,
494,INVESTIDOR,CDC,F,31,0,5
495,NOVO,CDC,M,,4,
496,INVESTIDOR,CDC,F,30,6,7
497,NOVO,CDC,M,27,0,40
498,INVESTIDOR,CDC,F,36,4,12
499,NOVO,CDC,M,,9,
500,NOVO,PESSOAL,F,,2,
501,NOVO,PESSOAL,M,38,0,2
502,NOVO,CDC,,45,15,2
503,NOVO,CDC,,29,5,19
504,NOVO,PESSOAL,M,20,3,16
505,TOMADOR,CDC,F,29,0,3
506,TOMADOR,RENEGOCIAÇÃO,M,36,16,
507,NOVO,CDC,F,32,16,
508,NOVO,RENEGOCIAÇÃO,,30,9,9
509,NOVO,RENEGOCIAÇÃO,F,33,0,96
510,NOVO,PESSOAL,I,44,16,
511,NOVO,CDC,F,39,2,25
512,NOVO,CDC,,,0,6
513,NOVO,PESSOAL,,24,9,
514,NOVO,RENEGOCIAÇÃO,M,53,16,
515,NOVO,CDC,F,33,1,6
516,NOVO,CDC,F,33,0,219
517,NOVO,PESSOAL,F,,0,187
518,INVESTIDOR,CDC,M,44,0,5
519,NOVO,PESSOAL,M,,10,
520,NOVO,RENEGOCIAÇÃO,M,24,0,46
521,NOVO,CDC,F,47,16,
522,NOVO,CDC,,,7,
523,TOMADOR,PESSOAL,F,,0,
524,NOVO,PESSOAL,M,26,16,
525,NOVO,CDC,M,43,16,
526,TOMADOR,RENEGOCIAÇÃO,F,29,0,5
527,NOVO,RENEGOCIAÇÃO,M,24,7,219
528,TOMADOR,CDC,M,49,16,30
529,NOVO,PESSOAL,M,43,16,
530,NOVO,CDC,F,25,3,2
531,NOVO,CDC,,,5,
532,NOVO,CDC,F,45,1,
533,TOMADOR,RENEGOCIAÇÃO,F,41,2,21
534,NOVO,CDC,F,31,11,138
535,NOVO,CDC,M,,9,
536,NOVO,RENEGOCIAÇÃO,M,22,0,71
537,TOMADOR,CDC,F,42,6,20
538,INVESTIDOR,CDC,M,53,0,5
539,NOVO,CDC,M,37,16,
540,NOVO,RENEGOCIAÇÃO,F,,16,
541,NOVO,RENEGOCIAÇÃO,M,30,16,
542,NOVO,PESSOAL,F,64,0,
543,NOVO,CDC,M,46,0,19
544,NOVO,PESSOAL,M,47,16,
545,TOMADOR,CDC,F,38,0,25
546,NOVO,PESSOAL,M,21,5,
547,NOVO,CDC,,22,0,6
548,NOVO,PESSOAL,F,22,0,4
549,TOMADOR,CDC,M,,0,181
550,NOVO,PESSOAL,F,33,16,
551,NOVO,PESSOAL,M,23,8,
552,TOMADOR,CDC,F,22,1,7
553,NOVO,CDC,,44,1,
554,INVESTIDOR,RENEGOCIAÇÃO,F,46,0,36
555,NOVO,RENEGOCIAÇÃO,F,31,3,13
556,NOVO,CDC,M,43,16,
557,NOVO,CDC,,,1,43
558,TOMADOR,CDC,M,41,0,31
559,TOMADOR,CDC,F,28,10,5
560,NOVO,RENEGOCIAÇÃO,F,,12,37
561,NOVO,PESSOAL,M,51,16,
562,TOMADOR,PESSOAL,,39,3,30
563,TOMADOR,RENEGOCIAÇÃO,F,26,13,
564,NOVO,CDC,M,58,10,4
565,NOVO,PESSOAL,M,,5,10
566,INVESTIDOR,RENEGOCIAÇÃO,I,42,0,14
567,TOMADOR,PESSOAL,M,49,2,2
568,NOVO,CDC,F,34,16,20
569,NOVO,CDC,,42,2,11
570,TOMADOR,RENEGOCIAÇÃO,F,24,0,8
571,NOVO,CDC,F,36,1,15
572,NOVO,PESSOAL,I,40,0,314
573,NOVO,CDC,F,33,0,13
574,INVESTIDOR,RENEGOCIAÇÃO,F,40,0,
575,TOMADOR,RENEGOCIAÇÃO,,,16,19
576,INVESTIDOR,RENEGOCIAÇÃO,F,40,2,45
